Cup,Date,Cup_Date,Temp,Sal,pH,pCO2,Ar,Color,DIC
A1,50718,A1_050718,12.6,27.97,8.063696381,358.6520788,1.87414343,yellow,1913.49
A1,50918,A1_050918,13.2,27,8.055904745,360.931698,1.811303211,yellow,1873.34
A1,51118,A1_051118,15.2,26.57,8.043889181,374.968128,1.887650805,yellow,1868.17
A1,51418,A1_051418,15.8,27.27,8.065773469,353.9126033,1.979169014,yellow,1871.33
A2,50718,A2_050718,12.7,38.18,7.922196481,645.930529,2.23713978,blue,2566.92
A2,50918,A2_050918,13.2,38.26,7.838414646,650.3255639,1.558831695,blue,2108.82
A2,51118,A2_051118,14.2,37.63,7.821373894,676.5041455,1.527660676,blue,2090.64
A2,51418,A2_051418,14.6,37.85,7.915803042,608.7437132,2.161542689,blue,2358.12
A3,50718,A3_050718,12.8,24.45,7.890912198,531.2547138,1.1457225,green,1831.31
A3,50918,A3_050918,13.3,24.82,7.732030458,803.8299014,0.857935641,green,1907.23
A3,51118,A3_051118,14,24.24,7.711288488,825.1113558,0.806750173,green,1850.7
A3,51418,A3_051418,14.7,25.08,7.707162363,834.2584143,0.840356298,green,1855.01
A4,50718,A4_050718,12.8,33.48,7.717558184,963.4813377,1.175529671,red,2310.96
A4,50918,A4_050918,13.3,32.59,7.750350057,880.1649372,1.244422151,red,2265.17
A4,51118,A4_051118,13.6,33.1,7.808781271,734.7778217,1.389482406,red,2171.33
A4,51418,A4_051418,15,32.66,7.67520713,1051.378377,1.115600318,red,2247.91
A4,51618,A4_051618,16.2,33.02,7.64840933,1157.410444,1.139948745,red,2312.38
A4,51818,A4_051818,11.9,32.78,7.669959816,1083.719179,1.014192779,red,2332.82
A5,50718,A5_050718,13,30.33,8.043836127,384.4330104,1.971119651,yellow,1976.56
A5,50918,A5_050918,13.5,30.21,8.00717611,427.7823375,1.879081339,yellow,2006.34
A5,51118,A5_051118,13.7,30.27,8.065178718,363.3022356,2.101799695,yellow,1961.04
A5,51418,A5_051418,14.9,29.89,8.045756304,377.3527758,2.06139802,yellow,1928.74
B1,50718,B1_050718,13.3,18.52,7.707180209,725.8029682,0.55991324,red,1549.28
B1,50918,B1_050918,13.8,18.68,7.66168784,826.1772823,0.529556966,red,1584.96
B1,51118,B1_051118,14.3,18.74,7.635797328,851.5281662,0.494389336,red,1534.78
B1,51418,B1_051418,15.1,18.69,7.628347556,869.8683061,0.501257519,red,1532.05
B2,50718,B2_050718,13.4,18.16,7.773640174,655.3294175,0.679220143,blue,1624.82
B2,50918,B2_050918,13.7,13.89,7.760440039,701.0328869,0.565638815,blue,1598.05
B2,51118,B2_051118,14.1,12.45,7.72151612,715.8686301,0.450196041,blue,1454.88
B2,51418,B2_051418,15.1,12.7,7.715134667,710.4130746,0.45668198,blue,1417.96
B2,51618,B2_051618,16.9,12.62,7.665233031,847.0833358,0.459273884,blue,1485.57
B2,51818,B2_051818,12.1,12.82,7.683273367,767.7040747,0.385332347,blue,1459.73
B3,50718,B3_050718,13.2,35.87,7.895498448,657.4024448,1.945528867,blue,2421.1
B3,50918,B3_050918,13.7,27.12,7.821627965,660.8347109,1.150883425,blue,1955.41
B3,51118,B3_051118,14.3,35,7.880764041,621.3766159,1.74813594,blue,2189.24
B3,51418,B3_051418,14.9,35.39,7.887021553,635.1305479,1.892223721,blue,2268.88
B3,51618,B3_051618,16.5,36.06,7.833055631,697.7379748,1.735265378,blue,2179.95
B3,51818,B3_051818,12.3,34.48,7.891667913,621.8471692,1.701938402,blue,2266.64
B4,50718,B4_050718,13.1,15.53,7.699570894,740.4714295,0.480700115,green,1505.8
B4,50918,B4_050918,13.6,16.08,7.739374225,703.5600676,0.573340384,green,1573.05
B4,51118,B4_051118,14.5,15.85,7.673714625,800.4624925,0.492655089,green,1524.46
B4,51418,B4_051418,14.9,15.94,7.650328842,837.3643131,0.471452744,green,1508.66
B5,50718,B5_050718,13,21.3,8.009192478,370.5594432,1.257369,yellow,1651.31
B5,50918,B5_050918,13.6,21.35,7.92658661,470.3559556,1.11644255,yellow,1716.66
B5,51118,B5_051118,14.4,21.32,8.00490751,379.2186816,1.327087445,yellow,1660.45
B5,51418,B5_051418,15.1,21.29,7.982419047,392.0729852,1.267135255,yellow,1620.3
C1,50718,C1_050718,18.5,18.21,7.610536561,939.2127258,0.552896425,red,1544.53
C1,50918,C1_050918,18.3,13.26,7.629007284,807.7453836,0.404924243,red,1303.49
C1,51118,C1_051118,17.8,13.02,7.586530802,862.0932671,0.344187231,red,1262.4
C1,51418,C1_051418,19.3,13.12,7.550038479,965.8671364,0.345931438,red,1288.84
C1,51618,C1_051618,19,13.43,7.552279393,1019.570815,0.371704072,red,1377.19
C2,50718,C2_050718,18.1,15.75,7.9113719,453.6858511,0.945046565,yellow,1466.73
C2,50918,C2_050918,18.4,15.78,7.849873095,546.7475678,0.868536288,yellow,1526.6
C2,51118,C2_051118,18.3,15.9,7.948418351,413.5210758,1.036320235,yellow,1460.94
C3,50718,C3_050718,18,36.26,8.110841411,368.7492964,3.48183749,yellow,2268.152669
C3,50918,C3_050918,18.4,36.07,8.068031331,388.0214658,3.037429387,yellow,2139.2622
C3,51118,C3_051118,18.4,36.01,8.06831447,355.6878027,2.784474615,yellow,1961.780824
C3,51418,C3_051418,19.6,34.99,8.085966347,342.6175535,2.96797734,yellow,1959.031929
C4,50718,C4_050718,18,21.56,7.65320361,894.7236784,0.710751634,red,1678.805777
C4,50918,C4_050918,18.4,21.81,7.691376838,818.4925017,0.792806504,red,1677.507128
C4,51118,C4_051118,18.5,21.44,7.604545793,990.9033025,0.638016453,red,1654.667266
C4,51418,C4_051418,19.7,21.49,7.626004824,952.5228511,0.708053407,red,1659.919171
C4,51618,C4_051618,20.2,21.89,7.589516991,1070.533478,0.693888198,red,1714.866879
C4,51818,C4_051818,15,21.73,7.637177815,928.4300788,0.618727808,red,1713.134255
C4,52118,C4_052118,15.8,21.55,7.689501811,832.143354,0.721841089,red,1721.710421
C5,50718,C5_050718,17.9,27.13,8.02755331,379.8495701,1.979423862,yellow,1804.967925
C5,50918,C5_050918,18.4,27.13,7.981346043,435.4969147,1.867212343,yellow,1845.371614
C5,51118,C5_051118,18.5,27.08,8.039798089,373.0466976,2.098270645,yellow,1821.844137
C5,51418,C5_051418,19.8,26.78,8.036378441,368.2443999,2.11911242,yellow,1771.464796
C5,51618,C5_051618,20.3,26.9,8.014495418,390.1553146,2.072957752,yellow,1777.034868
C5,51818,C5_051818,15.4,26.55,8.042835504,365.5801845,1.843411699,yellow,1814.91
D1,50718,D1_050718,18,38.91,7.702639551,1169.39881,1.779764524,red,2688.98
D1,50918,D1_050918,18.5,38.62,7.724883963,1007.416456,1.717148622,red,2434.2
D1,51118,D1_051118,18.5,38.46,7.83066263,824.6379239,2.280360496,red,2565.65
D1,51418,D1_051418,19.5,38.4,7.701356313,1059.580685,1.668853449,red,2408.79
D1,51618,D1_051618,20.4,38.71,7.698862189,1133.501904,1.831215575,red,2555.3
D2,50718,D2_050718,18.1,34.13,7.760269553,900.656391,1.623499705,green,2329.76
D2,50918,D2_050918,18.2,33.92,7.788368257,800.6772733,1.640918932,green,2211.4
D2,51118,D2_051118,18.5,33.58,7.753349527,917.0385989,1.604355491,green,2323.81
D3,50718,D3_050718,18.1,18.59,7.745730844,702.5646166,0.771302317,blue,1590.75
D3,50918,D3_050918,18.5,18.87,7.766223827,671.1442205,0.830426898,blue,1594.8
D3,51118,D3_051118,18.6,18.79,7.748109188,688.8877448,0.784571531,blue,1566.84
D3,51418,D3_051418,19.5,18.83,7.690672662,779.2388375,0.704745936,blue,1542.3
D3,51618,D3_051618,20.3,18.7,7.724522546,733.7116734,0.794205341,blue,1561.7
D4,50718,D4_050718,18.2,24.08,7.71095713,850.1263889,0.959033964,red,1856.57
D4,50918,D4_050918,18.5,24.01,7.67141964,945.8592183,0.897183904,red,1879.44
D4,51118,D4_051118,18.6,24.27,7.68081712,930.7979462,0.932218741,red,1892.71
D4,51418,D4_051418,19.6,24.57,7.651325994,976.1342676,0.892187457,red,1846.32
D4,51618,D4_051618,20.5,24.42,7.612262076,1091.15559,0.856851609,red,1873.3
D4,51818,D4_051818,15.9,23.39,7.636279817,994.6555473,0.718107214,red,1842.59
D5,50718,D5_050718,18.2,30.15,7.709407755,898.6689608,1.177093013,green,2024.09
D5,50918,D5_050918,18.5,30.11,7.722226238,869.7495865,1.220137099,green,2015.55
D5,51118,D5_051118,18.5,30.1,7.744740175,826.783313,1.286272281,green,2020.41
D5,51418,D5_051418,19.6,30.05,7.711001319,894.8937729,1.237532095,green,2008.27
D5,51618,D5_051618,20.4,29.11,7.685026704,942.5417739,1.163833011,green,1972.65
D5,51818,D5_051818,16,28.51,7.699037014,908.0074253,1.009364137,green,2003.49
E1,50718,E1_050718,21.6,30.4,8.047081519,376.5839355,2.6492464,yellow,1893.93
E1,50918,E1_050918,21.8,30.19,8.012719552,415.3640799,2.500289044,yellow,1914.72
E1,51118,E1_051118,20.9,30.42,8.051949543,366.5986105,2.573730767,yellow,1869.82
E1,51418,E1_051418,21.7,30.12,8.052779427,371.3274095,2.674189642,yellow,1890.41
E1,51618,E1_051618,21.1,29.15,8.048948245,362.8621949,2.457089942,yellow,1821.54
E1,51818,E1_051818,19.1,29.3,8.059164937,359.8568165,2.387456539,yellow,1865.64
E1,52118,E1_052118,19.2,29.21,8.083798208,340.9898054,2.537582432,yellow,1877.49
E2,50718,E2_050718,21.7,33.71,7.681617259,1100.765114,1.552001442,red,2322.05
E2,50918,E2_050918,21.8,33.63,7.705196619,973.6842763,1.533125429,red,2170.37
E2,51118,E2_051118,21.3,32.67,7.693555703,1064.812259,1.529725321,red,2303.79
E2,51418,E2_051418,21.8,32.87,7.641448497,1175.451285,1.357922645,red,2246.11
E3,50718,E3_050718,21.6,27.08,7.633915744,1074.278938,1.04124321,red,1960.67
E3,50918,E3_050918,21.8,27.64,7.66270446,996.3463039,1.126259365,red,1949.65
E3,51118,E3_051118,21.3,27.32,7.651182353,1026.476583,1.072172981,red,1956.31
E3,51418,E3_051418,21.8,27.56,7.574683608,1226.23107,0.922351131,red,1952.78
E3,51618,E3_051618,21.2,27.11,7.628408174,1076.617093,1.003620896,red,1944.11
E3,51818,E3_051818,19.7,26.5,7.611385815,1108.707723,0.891556013,red,1932.83
E3,52118,E3_052118,19.8,26.54,7.622288503,1077.264082,0.915088472,red,1925.63
E4,50718,E4_050718,21.6,24.96,7.705373734,871.6618471,1.110117279,green,1856.12
E4,50918,E4_050918,21.8,24.95,7.697046314,908.0276345,1.120677513,green,1894.03
E4,51118,E4_051118,21.3,24.86,7.693135721,901.584068,1.070652788,green,1867
E5,50718,E5_050718,21.6,21.49,7.62340594,1060.493501,0.834240946,red,1816.48
E5,50918,E5_050918,21.8,21.79,7.654893478,987.4546461,0.913401974,red,1822.44
E5,51118,E5_051118,21.2,21.67,7.642273614,1017.402449,0.865535387,red,1827.74
E5,51418,E5_051418,21.7,22.18,7.581940792,1142.368145,0.761882502,red,1786.34
E5,51618,E5_051618,21.5,21.58,7.580859821,1160.195521,0.749776829,red,1803.1
E5,51818,E5_051818,19.7,21.6,7.736983484,788.6729176,0.980867399,red,1781.73
F1,50718,F1_050718,21.6,39.14,7.79137239,942.8017547,2.451029058,green,2646.66
F1,50918,F1_050918,21.9,38.81,7.753171689,917.0842347,2.007271146,green,2342.41
F1,51118,F1_051118,21.4,39.1,7.844221448,801.9711169,2.639074473,green,2560.6
F2,50718,F2_050718,21.6,12.93,7.696141622,737.6759516,0.555527264,blue,1349.46
F2,50918,F2_050918,21.9,13.2,7.663034431,818.9304679,0.543917337,blue,1391.03
F2,51118,F2_051118,21.4,13.28,7.737561488,659.1098188,0.609023345,blue,1337.12
F3,50718,F3_050718,21.6,18.44,7.990478053,402.9385012,1.539955449,yellow,1597.02
F3,50918,F3_050918,21.9,18.69,7.992207869,402.0367651,1.581088745,yellow,1602.5
F3,51118,F3_051118,21.4,18.62,8.011990811,372.5559453,1.571887448,yellow,1560.31
F3,51418,F3_051418,21.9,18.82,7.974739645,397.8285298,1.450896328,yellow,1522.4
F3,51618,F3_051618,21.5,18.25,7.967532492,400.7518659,1.362714369,yellow,1500.18
F3,51818,F3_051818,19.5,18.31,7.958641686,415.7263446,1.265534265,yellow,1540.04
F3,52118,F3_052118,19.8,17.93,7.940027061,455.5107136,1.252776267,yellow,1604.18
F4,50718,F4_050718,21.5,36.58,7.907322921,643.4071636,2.701828566,blue,2368.96
F4,50918,F4_050918,21.9,36.16,7.833309143,722.1882341,2.168602691,blue,2212.95
F4,51118,F4_051118,21.3,36.79,7.883399542,692.3304443,2.596897048,blue,2407.83
F4,51418,F4_051418,21.9,36,7.837523411,696.5238505,2.12563591,blue,2154.66
F4,51618,F4_051618,21.5,36.16,7.825919851,697.5026408,1.996295406,blue,2102.08
F5,50718,F5_050718,21.6,15.67,7.686726833,829.0551497,0.693265397,green,1546.61
F5,50918,F5_050918,21.8,15.56,7.71807661,817.3125817,0.791055325,green,1635.51
F5,51118,F5_051118,21.4,16.19,7.635348747,972.0174454,0.652803804,green,1622.84
G1,50718,G1_050718,26.6,13.1,7.664023231,843.0496393,0.660362872,blue,1386.55
G1,50918,G1_050918,26.7,13.57,7.639984126,890.3431406,0.644339593,blue,1395.34
G1,51118,G1_051118,25.4,13.21,7.659956272,808.3950022,0.59963181,blue,1330.58
G2,50718,G2_050718,26.9,21.74,7.737184307,764.8639112,1.242331079,blue,1667.86
G2,50918,G2_050918,26.5,21.43,7.73539281,764.9885254,1.202118208,blue,1659.36
G2,51118,G2_051118,25.8,18.94,7.732996322,740.3711311,1.026261577,blue,1562.03
G2,51418,G2_051418,26.9,22.05,7.773121163,683.8962861,1.32392092,blue,1629.12
G3,50718,G3_050718,26.8,19.19,7.984633193,415.9929061,1.923599163,yellow,1602.71
G3,50918,G3_050918,26.8,19.24,7.917086581,500.710222,1.69959837,yellow,1637.59
G3,51118,G3_051118,25.2,19.94,8.03227371,358.2081007,2.000917917,yellow,1574.85
G3,51418,G3_051418,27.1,19.01,7.996535058,382.8714203,1.877740487,yellow,1513.56
G3,51618,G3_051618,24.5,18.75,8.04229769,337.4092932,1.840313513,yellow,1503.25
G3,51818,G3_051818,23.8,18.14,7.991098549,388.7855595,1.594149286,yellow,1521.8
G4,50718,G4_050718,26.9,33.78,7.729841533,956.3672124,2.032242559,green,2223.26
G4,50918,G4_050918,26.9,33.83,7.721503243,923.5108263,1.890428771,green,2104.79
G4,51118,G4_051118,25.9,33.24,7.787080083,806.0266591,2.125839035,green,2151.38
G4,51418,G4_051418,27.1,33.33,7.734129939,898.5296935,1.943649142,green,2104.39
G4,51618,G4_051618,26.3,32.32,7.722904717,904.5809958,1.766923766,green,2056.32
G5,50718,G5_050718,27,30.57,7.899946872,560.7549259,2.444994299,yellow,1935.69
G5,50918,G5_050918,26.9,30.46,7.790643372,746.7808154,1.956295723,yellow,1973.88
G5,51118,G5_051118,25.9,30.53,8.039045337,384.240087,3.050936104,yellow,1878.63
G5,51418,G5_051418,27.1,30.46,8.052265566,361.6106478,3.183579929,yellow,1824.03
G5,51618,G5_051618,25.8,29.37,8.065007818,342.6859636,2.976024065,yellow,1774.76
H1,50718,H1_050718,26.5,16.02,7.667791284,931.2569522,0.86534699,green,1619.15
H1,50918,H1_050918,26.4,16.27,7.63635928,1041.255005,0.844052372,green,1689.34
H1,51118,H1_051118,25.2,16,7.656993734,922.2253707,0.777431257,green,1575.85
H1,51418,H1_051418,26.9,16,7.58147556,1069.938083,0.677139404,green,1517.9
H2,50718,H2_050718,26.6,28.65,7.688293009,972.0657472,1.508051119,green,1990.83
H2,50918,H2_050918,26.6,28.11,7.709324326,913.2487986,1.540876169,green,1959.75
H2,51118,H2_051118,25.7,28.75,7.656155409,1046.969323,1.35860383,green,1995.26
H2,51418,H2_051418,27,28.23,7.709089562,896.816717,1.538334328,green,1921.99
H3,50718,H3_050718,26.7,24.64,7.76172184,764.2284043,1.505641839,blue,1812.76
H3,50918,H3_050918,26.3,25.13,7.745748381,801.2486486,1.46495803,blue,1839.41
H3,51118,H3_051118,25.5,25.06,7.765321217,746.9008968,1.448463531,blue,1801.62
H3,51418,H3_051418,26.9,25.18,7.789830559,701.5776417,1.608644805,blue,1786.08
H3,51618,H3_051618,25.9,24.84,7.819132493,658.7761414,1.650940482,blue,1801.67
H3,51818,H3_051818,23.4,24.33,7.793662215,707.3439507,1.418650663,blue,1832.16
H3,52118,H3_052118,23.2,24.49,7.789213082,712.9613097,1.397085524,blue,1831.09
H4,50718,H4_050718,26.6,40.3,7.772620856,997.8073868,2.900323352,red,2656.84
H4,50918,H4_050918,26.4,39.98,7.653080773,1193.460075,1.974183408,red,2377.34
H4,51118,H4_051118,25,40.24,7.692238412,1182.086679,2.239151667,red,2599.08
H4,51418,H4_051418,27,39.08,7.660941245,1188.638928,2.047821015,red,2399.84
H5,50718,H5_050718,26.5,37.44,7.684982589,1184.680281,2.169946567,red,2518.86
H5,50918,H5_050918,26.8,36.67,7.626269197,1231.468855,1.714217835,red,2265.92
H5,51118,H5_051118,25.9,37.04,7.674012344,1181.196556,1.997424507,red,2446.07
H5,51418,H5_051418,27,36.72,7.641646949,1223.837119,1.843718681,red,2335.05
I1,50718,I1_050718,29.5,19.13,7.661868439,970.562593,1.117617309,blue,1701.86
I1,50918,I1_050918,29.1,18.68,7.74478391,778.7564226,1.272107026,blue,1655.73
I1,51118,I1_051118,27.1,19.82,7.775717444,692.7069989,1.266760091,blue,1622.03
I1,51418,I1_051418,30.2,19.6,7.712625996,826.6493558,1.255994284,blue,1637.29
I2,50718,I2_050718,29.9,31.36,7.780809377,769.5795233,2.195728799,blue,1981.16
I2,50918,I2_050918,29.2,31.08,7.772892721,773.3581368,2.060266292,blue,1952.95
I2,51118,I2_051118,28.5,31.65,7.813426432,697.1528038,2.208141003,blue,1952.94
I2,51418,I2_051418,30.2,31.12,7.691950404,961.8989024,1.833738895,blue,1993.29
I3,50718,I3_050718,29.9,34.89,7.663119582,1164.818473,2.079012275,red,2301.61
I3,50918,I3_050918,29,33.8,7.647297694,1124.396367,1.765542026,red,2132.18
I3,51118,I3_051118,28.7,34.62,7.67750835,1090.606585,1.978857752,red,2234.31
I3,51418,I3_051418,30.2,32.9,7.716239258,935.3400549,2.070886089,red,2076.42
I3,51618,I3_051618,28.2,34.21,7.842172894,648.9493,2.44742468,red,1980.83
I4,50718,I4_050718,29.8,13.44,7.888197747,509.6669351,1.281069958,yellow,1402.38
I4,50918,I4_050918,29.5,13.83,7.865466745,557.225192,1.277048694,yellow,1465.34
I4,51118,I4_051118,28.4,13.26,7.888126773,500.4605567,1.18393844,yellow,1383.4
I5,50718,I5_050718,29.8,25.1,7.617831157,1162.330882,1.340636813,red,1941.37
I5,50918,I5_050918,29.3,25.3,7.642551016,1100.246008,1.403537336,red,1955.19
I5,51118,I5_051118,29.2,25.26,7.614416916,1162.945569,1.297005867,red,1934.05
I5,51418,I5_051418,30.1,24.82,7.623312212,1136.028035,1.348372498,red,1915.53
I5,51618,I5_051618,28.5,25.01,7.637557424,1054.917782,1.266639099,red,1854.78
J1,50718,J1_050718,29.1,29.1,7.699741595,953.6877865,1.728576699,green,1995.19
J1,50918,J1_050918,29.1,28.52,7.689872748,954.9888966,1.631638814,green,1944.06
J1,51118,J1_051118,27.6,29.18,7.70491283,921.0775345,1.620405205,green,1961.78
J1,51418,J1_051418,29.7,27.69,7.713849823,880.4331349,1.683710775,green,1883.68
J2,50718,J2_050718,29.1,22.35,7.915040361,501.7987758,2.044121734,yellow,1674.19
J2,50918,J2_050918,29.1,22.72,7.960503788,449.3735036,2.283182666,yellow,1682.74
J2,51118,J2_051118,27.8,22.72,7.990961962,403.5791663,2.248936066,yellow,1635.82
J2,51418,J2_051418,29.4,22.42,8.004499561,381.0953973,2.375181098,yellow,1585.11
J2,51618,J2_051618,28.9,21.74,8.047938806,340.4155784,2.489219739,yellow,1568.56
J2,51818,J2_051818,26.2,22.19,8.009726281,393.3020337,2.216221984,yellow,1669.51
J3,50718,J3_050718,29.2,36.93,7.879673217,682.5916228,3.34885097,blue,2318.12
J3,50918,J3_050918,29.5,27.68,7.722298241,875.6498534,1.727665049,blue,1912.91
J3,51118,J3_051118,27.6,37.84,7.845878822,721.1126038,2.905949299,blue,2267.36
J3,51418,J3_051418,29.5,36.32,7.816562858,701.511324,2.571861449,blue,2029.77
J3,51618,J3_051618,29,36.15,7.823191928,671.8879758,2.484943686,blue,1975.67
J4,50718,J4_050718,29.2,40.16,7.782860353,954.8644752,3.188271711,green,2595.51
J4,50918,J4_050918,29.1,39.22,7.726339034,947.4735598,2.387316576,green,2232.29
J4,51118,J4_051118,27.5,40.12,7.768083229,932.8749497,2.73351932,green,2450.62
J4,51418,J4_051418,29.6,38.52,7.741597767,883.7746764,2.401411205,green,2152.01
J5,50718,J5_050718,29.4,16.08,7.935957423,456.1675881,1.622284942,yellow,1477.98
J5,50918,J5_050918,29,16.72,7.909557231,500.6463302,1.601245915,yellow,1539.5
J5,51118,J5_051118,27,16.83,7.923630633,463.3465678,1.478351972,yellow,1490.86
J5,51418,J5_051418,29.8,16.03,7.941576422,423.1328035,1.562889149,yellow,1386.01