Row,Column,Cup,Date,Cup_date,Alive,Dead,Eyed,Counter,Mortality,Percent eyed,Settlers,SettlersCount
A,1,A1,50718,A1_050718,22,176,0,JL,88.89,0,,
A,2,A2,50718,A2_050718,22,83,0,LK,79.05,0,,
A,3,A3,50718,A3_050718,20,102,0,BM,83.61,0,,
A,4,A4,50718,A4_050718,20,81,0,LK,80.2,0,,
A,5,A5,50718,A5_050718,20,136,0,BM,87.18,0,,
B,1,B1,50718,B1_050718,25,171,0,JL,87.24,0,,
B,2,B2,50718,B2_050718,25,177,0,BM,87.62,0,,
B,3,B3,50718,B3_050718,21,138,0,LK,86.79,0,,
B,4,B4,50718,B4_050718,20,231,0,JL,92.03,0,,
B,5,B5,50718,B5_050718,24,162,0,LK,87.1,0,,
C,1,C1,50718,C1_050718,21,109,0,BM,83.85,0,,
C,2,C2,50718,C2_050718,20,332,0,BM,94.32,0,,
C,3,C3,50718,C3_050718,27,238,0,JL,89.81,0,,
C,4,C4,50718,C4_050718,32,176,0,JL,84.62,0,,
C,5,C5,50718,C5_050718,22,96,0,BM,81.36,0,,
D,1,D1,50718,D1_050718,21,96,0,AM,82.05,0,,
D,2,D2,50718,D2_050718,21,139,0,MR,86.88,0,,
D,3,D3,50718,D3_050718,22,172,0,BM,88.66,0,,
D,4,D4,50718,D4_050718,21,177,0,LK,89.39,0,,
D,5,D5,50718,D5_050718,24,82,0,BM,77.36,0,,
E,1,E1,50718,E1_050718,20,96,0,JL,82.76,0,,
E,2,E2,50718,E2_050718,20,153,0,LK,88.44,0,,
E,3,E3,50718,E3_050718,20,65,0,BM,76.47,0,,
E,4,E4,50718,E4_050718,21,251,0,JL,92.28,0,,
E,5,E5,50718,E5_050718,21,150,0,BM,87.72,0,,
F,1,F1,50718,F1_050718,21,180,0,LK,89.55,0,,
F,2,F2,50718,F2_050718,20,768,0,JL,97.46,0,,
F,3,F3,50718,F3_050718,23,83,0,BM,78.3,0,,
F,4,F4,50718,F4_050718,26,114,0,LK,81.43,0,,
F,5,F5,50718,F5_050718,32,280,0,JL,89.74,0,,
G,1,G1,50718,G1_050718,20,58,0,BM,74.36,0,,
G,2,G2,50718,G2_050718,23,32,0,AM,58.18,0,,
G,3,G3,50718,G3_050718,23,83,0,MR,78.3,0,,
G,4,G4,50718,G4_050718,22,84,0,LK,79.25,0,,
G,5,G5,50718,G5_050718,24,86,0,BM,78.18,0,,
H,1,H1,50718,H1_050718,28,118,0,JL,80.82,0,,
H,2,H2,50718,H2_050718,23,122,0,LK,84.14,0,,
H,3,H3,50718,H3_050718,26,49,0,BM,65.33,0,,
H,4,H4,50718,H4_050718,28,101,0,JL,78.29,0,,
H,5,H5,50718,H5_050718,32,280,0,JL,89.74,0,,
I,1,I1,50718,I1_050718,29,38,0,BM,56.72,0,,
I,2,I2,50718,I2_050718,20,7,0,AM,25.93,0,,
I,3,I3,50718,I3_050718,21,21,0,JL,50,0,,
I,4,I4,50718,I4_050718,26,88,0,BM,77.19,0,,
I,5,I5,50718,I5_050718,23,11,0,JL,32.35,0,,
J,1,J1,50718,J1_050718,24,42,0,JL,63.64,0,,
J,2,J2,50718,J2_050718,26,12,0,BM,31.58,0,,
J,3,J3,50718,J3_050718,26,26,0,BM,50,0,,
J,4,J4,50718,J4_050718,28,40,0,JL,58.82,0,,
J,5,J5,50718,J5_050718,31,25,0,BM,44.64,0,,
A,1,A1,50918,A1_050918,22,357,0,JL,94.2,0,,
A,2,A2,50918,A2_050918,20,150,0,LK,88.24,0,,
A,3,A3,50918,A3_050918,28,546,0,JL,95.12,0,,
A,4,A4,50918,A4_050918,20,178,0,LK,89.9,0,,
A,5,A5,50918,A5_050918,20,356,0,LK,94.68,0,,
B,1,B1,50918,B1_050918,20,132,0,BM,86.84,0,,
B,2,B2,50918,B2_050918,22,276,0,JL,92.62,0,,
B,3,B3,50918,B3_050918,23,162,0,BM,87.57,0,,
B,4,B4,50918,B4_050918,23,472,0,LK,95.35,0,,
B,5,B5,50918,B5_050918,20,315,0,BM,94.03,0,,
C,1,C1,50918,C1_050918,25,217,0,SA,89.67,0,,
C,2,C2,50918,C2_050918,20,348,0,JL,94.57,0,,
C,3,C3,50918,C3_050918,21,314,0,BM,93.73,0,,
C,4,C4,50918,C4_050918,22,180,0,BM,89.11,0,,
C,5,C5,50918,C5_050918,24,164,0,JL,87.23,0,,
D,1,D1,50918,D1_050918,25,120,0,AS,82.76,0,,
D,2,D2,50918,D2_050918,20,382,0,KMO,95.02,0,,
D,3,D3,50918,D3_050918,20,125,0,BM,86.21,0,,
D,4,D4,50918,D4_050918,21,222,0,BM,91.36,0,,
D,5,D5,50918,D5_050918,20,226,0,JL,91.87,0,,
E,1,E1,50918,E1_050918,26,411,0,AS,94.05,0,,
E,2,E2,50918,E2_050918,24,75,0,BM,75.76,0,,
E,3,E3,50918,E3_050918,54,401,0,SA,88.13,0,,
E,4,E4,50918,E4_050918,20,219,0,JL,91.63,0,,
E,5,E5,50918,E5_050918,20,247,0,BM,92.51,0,,
F,1,F1,50918,F1_050918,21,104,0,KMO,83.2,0,,
F,2,F2,50918,F2_050918,7,,0,JL,0,0,,
F,3,F3,50918,F3_050918,23,130,0,BM,84.97,0,,
F,4,F4,50918,F4_050918,22,135,0,AS,85.99,0,,
F,5,F5,50918,F5_050918,28,244,0,SA,89.71,0,,
G,1,G1,50918,G1_050918,25,116,0,KMO,82.27,0,,
G,2,G2,50918,G2_050918,21,51,0,BM,70.83,0,,
G,3,G3,50918,G3_050918,20,77,0,AS,79.38,0,,
G,4,G4,50918,G4_050918,22,51,8,BM,69.86,36.36,,
G,5,G5,50918,G5_050918,20,40,2,JL,66.67,10,,
H,1,H1,50918,H1_050918,21,60,4,KMO,74.07,19.05,,
H,2,H2,50918,H2_050918,22,164,9,SA,88.17,40.91,,
H,3,H3,50918,H3_050918,25,96,2,AS,79.34,8,,
H,4,H4,50918,H4_050918,24,147,8,BM,85.96,33.33,,
H,5,H5,50918,H5_050918,30,135,13,KMO,81.82,43.33,,
I,1,I1,50918,I1_050918,21,21,1,JL,50,4.76,,
I,2,I2,50918,I2_050918,21,54,17,BM,72,80.95,,
I,3,I3,50918,I3_050918,20,29,7,KMO,59.18,35,,
I,4,I4,50918,I4_050918,22,498,1,AS,95.77,4.55,,
I,5,I5,50918,I5_050918,22,29,12,BM,56.86,54.55,,
J,1,J1,50918,J1_050918,21,115,4,KMO,84.56,19.05,,
J,2,J2,50918,J2_050918,21,26,6,JL,55.32,28.57,,
J,3,J3,50918,J3_050918,33,48,28,KMO,59.26,84.85,,
J,4,J4,50918,J4_050918,22,56,9,BM,71.79,40.91,,
J,5,J5,50918,J5_050918,28,30,2,BM,51.72,7.14,,
A,1,A1,51118,A1_051118,22,385,0,BM,94.59,0,,
A,2,A2,51118,A2_051118,36,265,,SA,88.04,0,,
A,3,A3,51118,A3_051118,21,516,0,CV,96.09,0,,
A,4,A4,51118,A4_051118,23,156,0,BM,87.15,0,,
A,5,A5,51118,A5_051118,20,417,0,JL,95.42,0,,
B,1,B1,51118,B1_051118,30,211,0,SA,87.55,0,,
B,2,B2,51118,B2_051118,21,161,0,BM,88.46,0,,
B,3,B3,51118,B3_051118,23,202,0,BM,89.78,0,,
B,4,B4,51118,B4_051118,22,371,0,SA,0,0,,
B,5,B5,51118,B5_051118,20,412,0,JL,95.37,0,,
C,1,C1,51118,C1_051118,22,44,0,BM,66.67,0,,
C,2,C2,51118,C2_051118,9,262,0,Holly,96.68,0,,
C,3,C3,51118,C3_051118,20,291,,BM,93.57,#DIV/0!,,
C,4,C4,51118,C4_051118,21,142,3,BM,87.12,#DIV/0!,,
C,5,C5,51118,C5_051118,20,148,0,BM,88.1,0,,
D,1,D1,51118,D1_051118,20,142,0,JL,84.02,0,,
D,2,D2,51118,D2_051118,27,,0,BM,#REF!,0,,
D,3,D3,51118,D3_051118,20,33,0,BM,62.26,0,,
D,4,D4,51118,D4_051118,20,260,8,Holly,92.86,40,,
E,1,E1,51118,E1_051118,23,82,1,JL,78.1,4.35,,
E,2,E2,51118,E2_051118,23,146,3,BM,86.39,13.04,,
E,3,E3,51118,E3_051118,23,130,2,Monica,81.82,8.7,,
E,4,E4,51118,E4_051118,30,,5,BM,0,16.67,,
E,5,E5,51118,E5_051118,22,236,1,MR,91.47,4.55,,
F,1,F1,51118,F1_051118,4,107,1,SA,96.4,25,,
F,3,F3,51118,F3_051118,20,90,3,JL,81.81818182,15,,
F,4,F4,51118,F4_051118,24,132,1,BM,84.62,4.17,,
F,5,F5,51118,F5_051118,17,,0,BM,0,0,,
G,1,G1,51118,G1_051118,16,,,JL,0,0,,
G,2,G2,51118,G2_051118,21,61,2,BM,74.39,9.52,,
G,3,G3,51118,G3_051118,26,79,7,BM,75.24,26.92,,
G,4,G4,51118,G4_051118,23,64,20,BM,73.56,86.96,,
G,5,G5,51118,G5_051118,22,82,0,JL,78.85,0,,
H,1,H1,51118,H1_051118,21,77,1,BM,78.57,4.76,,
H,2,H2,51118,H2_051118,20,153,13,Monica,88.44,65,,
H,3,H3,51118,H3_051118,20,120,5,SA,85.71,25,,
H,4,H4,51118,H4_051118,20,84,8,JL,80.77,40,,
H,5,H5,51118,H5_051118,25,48,17,BM,65.75,68,,
I,1,I1,51118,I1_051118,24,56,0,BM,70,0,,
I,2,I2,51118,I2_051118,21,31,14,BM,59.61538462,66.66666667,,
I,3,I3,51118,I3_051118,23,32,11,JL,58.18,47.83,,
I,4,I4,51118,I4_051118,12,,0,BM,0,0,,
I,5,I5,51118,I5_051118,28,22,10,JL,44,35.71,,
J,1,J1,51118,J1_051118,21,104,18,BM,83.2,85.71,,
J,2,J2,51118,J2_051118,20,26,7,JL,56.52,35,,
J,3,J3,51118,J3_051118,26,104,22,BM,80,84.62,,
J,4,J4,51118,J4_051118,24,85,4,JL,77.98,16.67,,
J,5,J5,51118,J5_051118,21,41,0,BM,66.13,0,,
A,1,A1,51418,A1_051418,9,,0,JL,0,0,,
A,2,A2,51418,A2_051418,34,,0,BM,0,0,,
A,3,A3,51418,A3_051418,4,,0,AE,0,0,,
A,4,A4,51418,A4_051418,26,448,0,JL,94.51,0,,
A,5,A5,51418,A5_051418,15,,0,BM,0,0,,
B,1,B1,51418,B1_051418,6,,0,AE,0,0,,
B,2,B2,51418,B2_051418,25,125,0,BM,83.33,0,,
B,3,B3,51418,B3_051418,20,183,0,JL,90.15,0,,
B,4,B4,51418,B4_051418,0,,0,AE,#DIV/0!,#DIV/0!,,
B,5,B5,51418,B5_051418,5,,0,BM,0,0,,
C,1,C1,51418,C1_051418,20,81,0,JL,80.2,0,,
C,3,C3,51418,C3_051418,2,,0,AE,0,0,,
C,4,C4,51418,C4_051418,21,70,0,BM,76.92,0,,
C,5,C5,51418,C5_051418,25,299,5,AE,92.28,20,,
D,1,D1,51418,D1_051418,21,152,0,BM,87.86,0,,
D,3,D3,51418,D3_051418,21,333,5,AE,94.07,23.81,,
D,4,D4,51418,D4_051418,21,207,3,JL,90.79,14.29,,
D,5,D5,51418,D5_051418,20,255,5,BM,92.73,25,,
E,1,E1,51418,E1_051418,20,45,14,JL,69.23076923,70,,
E,2,E2,51418,E2_051418,18,,12,AE,98.67,0.666666667,,
E,3,E3,51418,E3_051418,20,100,12,JL,83.33,60,,
E,5,E5,51418,E5_051418,23,78,2,BM,77.23,8.7,,
F,3,F3,51418,F3_051418,24,110,1,BM,82.09,4.17,,
F,4,F4,51418,F4_051418,28,199,13,JL,87.66519824,46.42857143,,
G,2,G2,51418,G2_051418,20,476,4,AE,95.97,20,,
G,3,G3,51418,G3_051418,25,128,1,BM,83.66,4,,
G,4,G4,51418,G4_051418,20,118,18,JL,85.51,90,,
G,5,G5,51418,G5_051418,20,151,17,BM,88.3,85,y,
H,1,H1,51418,H1_051418,8,,0,JL,0,0,,
H,2,H2,51418,H2_051418,4,,3,AE,0,75,,
H,3,H3,51418,H3_051418,19,116,18,BM,85.93,94.74,,
H,4,H4,51418,H4_051418,15,231,2,JL,93.9,13.33,,
H,5,H5,51418,H5_051418,0,,0,AE,#DIV/0!,#DIV/0!,,
I,1,I1,51418,I1_051418,5,,0,BM,0,0,,
I,2,I2,51418,I2_051418,3,,2,AE,0,66.67,y,
I,3,I3,51418,I3_051418,20,124,15,JL,86.11,75,y,
I,5,I5,51418,I5_051418,29,55,15,BM,65.48,51.72,,
J,1,J1,51418,J1_051418,0,,0,AE,#DIV/0!,#DIV/0!,y,
J,2,J2,51418,J2_051418,22,149,16,AE,87.13,72.73,y,
J,3,J3,51418,J3_051418,20,146,11,JL,87.95,55,,
J,4,J4,51418,J4_051418,17,,3,BM,0,17.65,,
J,5,J5,51418,J5_051418,20,230,0,BM,92,0,,
A,4,A4,51618,A4_051618,20,365,3,JL,94.81,15,,
B,2,B2,51618,B2_051618,20,123,0,BM,86.01,0,,
B,3,B3,51618,B3_051618,22,271,0,JL,92.49,0,,
C,1,C1,51618,C1_051618,11,55,0,BM,83.33,0,,
C,4,C4,51618,C4_051618,22,207,0,JL,90.39,0,,
C,5,C5,51618,C5_051618,24,250,0,BM,91.24,0,,
D,1,D1,51618,D1_051618,15,269,3,JL,94.72,20,,
D,3,D3,51618,D3_051618,16,183,0,BM,91.96,0,,
D,4,D4,51618,D4_051618,21,254,3,BM,92.36,14.29,,
D,5,D5,51618,D5_051618,20,344,9,JL,94.51,45,,
E,1,E1,51618,E1_051618,23,140,11,BM,85.89,47.83,,
E,3,E3,51618,E3_051618,20,167,18,JL,89.30481283,90,,
E,5,E5,51618,E5_051618,21,237,9,AS,91.86,42.86,,
F,3,F3,51618,F3_051618,22,163,3,JL,88.11,13.64,,
F,4,F4,51618,F4_051618,15,685,1,JL,97.86,6.67,,
G,3,G3,51618,G3_051618,21,196,3,AS,90.32,14.29,,
G,4,G4,51618,G4_051618,56,846,,SA,93.79157428,#DIV/0!,y,59
G,5,G5,51618,G5_051618,116,505,2,JL,81.32,1.72,y,114
H,3,H3,51618,H3_051618,26,44,26,AS,62.85714286,100,,
I,3,I3,51618,I3_051618,20,544,0,AS,96.45,0,y,12
I,5,I5,51618,I5_051618,12,876,8,JL,98.65,66.67,y,31
J,2,J2,51618,J2_051618,29,73,15,JL,71.57,51.72,y,12
J,3,J3,51618,J3_051618,2,304,1,JL,99.35,50,y,1
A,4,A4,51818,A4_051818,14,403,0,JL,96.64,0,,
B,2,B2,51818,B2_051818,16,504,0,JL,96.92,0,,
B,3,B3,51818,B3_051818,24,354,0,JL,93.65,0,,
C,4,C4,51818,C4_051818,27,218,7,JL,88.98,25.93,,
C,5,C5,51818,C5_051818,21,346,8,JL,94.28,38.1,,
D,4,D4,51818,D4_051818,7,264,2,JL,97.42,28.57,,
D,5,D5,51818,D5_051818,9,305,5,JL,97.13,55.56,,
E,1,E1,51818,E1_051818,21,163,16,JL,88.59,76.19,,
E,3,E3,51818,E3_051818,27,412,20,JL,93.85,74.07,,
E,5,E5,51818,E5_051818,25,311,3,JL,92.56,12,,
F,3,F3,51818,F3_051818,25,165,2,JL,86.84,8,,
G,3,G3,51818,G3_051818,19,486,3,JL,96.24,15.79,,
H,3,H3,51818,H3_051818,26,202,18,JL,88.6,69.23,y,48
J,2,J2,51818,J2_051818,12,270,11,JL,95.74,91.67,y,10
C,4,C4,52118,C4_052118,18,113,3,JL,86.26,16.67,,
E,1,E1,52118,E1_052118,25,385,15,JL,93.9,60,,
E,3,E3,52118,E3_052118,21,258,18,JL,92.47,85.71,,
F,3,F3,52118,F3_052118,21,240,3,JL,91.95,14.29,,
H,3,H3,52118,H3_052118,21,253,15,JL,92.34,71.43,y,62
A,1,A1,50418,A1_050418,56,3,0,JL,5.084745763,0,,
A,2,A2,50418,A2_050418,56,3,0,JL,5.084745763,0,,
A,3,A3,50418,A3_050418,56,3,0,JL,5.084745763,0,,
A,4,A4,50418,A4_050418,56,3,0,JL,5.084745763,0,,
A,5,A5,50418,A5_050418,56,3,0,JL,5.084745763,0,,
B,1,B1,50418,B1_050418,56,3,0,JL,5.084745763,0,,
B,2,B2,50418,B2_050418,56,3,0,JL,5.084745763,0,,
B,3,B3,50418,B3_050418,56,3,0,JL,5.084745763,0,,
B,4,B4,50418,B4_050418,56,3,0,JL,5.084745763,0,,
B,5,B5,50418,B5_050418,56,3,0,JL,5.084745763,0,,
C,1,C1,50418,C1_050418,56,3,0,JL,5.084745763,0,,
C,2,C2,50418,C2_050418,56,3,0,JL,5.084745763,0,,
C,3,C3,50418,C3_050418,56,3,0,JL,5.084745763,0,,
C,4,C4,50418,C4_050418,56,3,0,JL,5.084745763,0,,
C,5,C5,50418,C5_050418,56,3,0,JL,5.084745763,0,,
D,1,D1,50418,D1_050418,56,3,0,JL,5.084745763,0,,
D,2,D2,50418,D2_050418,56,3,0,JL,5.084745763,0,,
D,3,D3,50418,D3_050418,56,3,0,JL,5.084745763,0,,
D,4,D4,50418,D4_050418,56,3,0,JL,5.084745763,0,,
D,5,D5,50418,D5_050418,56,3,0,JL,5.084745763,0,,
E,1,E1,50418,E1_050418,56,3,0,JL,5.084745763,0,,
E,2,E2,50418,E2_050418,56,3,0,JL,5.084745763,0,,
E,3,E3,50418,E3_050418,56,3,0,JL,5.084745763,0,,
E,4,E4,50418,E4_050418,56,3,0,JL,5.084745763,0,,
E,5,E5,50418,E5_050418,56,3,0,JL,5.084745763,0,,
F,1,F1,50418,F1_050418,56,3,0,JL,5.084745763,0,,
F,2,F2,50418,F2_050418,56,3,0,JL,5.084745763,0,,
F,3,F3,50418,F3_050418,56,3,0,JL,5.084745763,0,,
F,4,F4,50418,F4_050418,56,3,0,JL,5.084745763,0,,
F,5,F5,50418,F5_050418,56,3,0,JL,5.084745763,0,,
G,1,G1,50418,G1_050418,56,3,0,JL,5.084745763,0,,
G,2,G2,50418,G2_050418,56,3,0,JL,5.084745763,0,,
G,3,G3,50418,G3_050418,56,3,0,JL,5.084745763,0,,
G,4,G4,50418,G4_050418,56,3,0,JL,5.084745763,0,,
G,5,G5,50418,G5_050418,56,3,0,JL,5.084745763,0,,
H,1,H1,50418,H1_050418,56,3,0,JL,5.084745763,0,,
H,2,H2,50418,H2_050418,56,3,0,JL,5.084745763,0,,
H,3,H3,50418,H3_050418,56,3,0,JL,5.084745763,0,,
H,4,H4,50418,H4_050418,56,3,0,JL,5.084745763,0,,
H,5,H5,50418,H5_050418,56,3,0,JL,5.084745763,0,,
I,1,I1,50418,I1_050418,56,3,0,JL,5.084745763,0,,
I,2,I2,50418,I2_050418,56,3,0,JL,5.084745763,0,,
I,3,I3,50418,I3_050418,56,3,0,JL,5.084745763,0,,
I,4,I4,50418,I4_050418,56,3,0,JL,5.084745763,0,,
I,5,I5,50418,I5_050418,56,3,0,JL,5.084745763,0,,
J,1,J1,50418,J1_050418,56,3,0,JL,5.084745763,0,,
J,2,J2,50418,J2_050418,56,3,0,JL,5.084745763,0,,
J,3,J3,50418,J3_050418,56,3,0,JL,5.084745763,0,,
J,4,J4,50418,J4_050418,56,3,0,JL,5.084745763,0,,
J,5,J5,50418,J5_050418,56,3,0,JL,5.084745763,0,,